step,timestamp,vehicle_count,cluster_count,noise_count,cluster_head_count,trusted_count,unknown_count,malicious_count,emergency_messages,delivered_messages,forwarded,duplicates,routing_hops,auth_success,auth_failures,pdr,avg_delay_ms,broadcast_overhead,ch_changes,throughput_kbps,auth_success_rate,avg_legitimate_trust,avg_malicious_trust,avg_cluster_lifetime,ch_change_rate,avg_intra_cluster_connectivity,cluster_stability_score,recluster_count,reclustering_skipped_count,bls_sign_time_ms,bls_individual_verify_time_ms,bls_batch_verify_time_ms,bls_batch_avg_size,bls_signature_size_bytes,bls_verifications_total,bls_batches_total,bls_auth_success,bls_auth_failures
108,1787553036.812556,250,15,6,15,3,247,0,1,0,4,14,10,0,0,0.0,0.0,4.0,274,0.0,100.0,0.61,0.6,9.29,0.0133,0.8152,0.8666,28,81,139.012,0.0,0.0,0.0,96,0,0,0,0
109,1787553036.918087,250,15,6,15,3,247,0,1,0,4,14,10,0,0,0.0,0.0,4.0,274,0.0,100.0,0.61,0.6,9.37,0.0133,0.8191,0.8694,28,82,139.012,0.0,0.0,0.0,96,0,0,0,0
110,1787553036.974923,250,15,6,15,3,247,0,1,0,4,14,10,0,0,0.0,0.0,4.0,274,0.0,100.0,0.61,0.6,9.46,0.0133,0.8189,0.8693,28,83,139.012,0.0,0.0,0.0,96,0,0,0,0
111,1787553037.0310502,249,15,6,15,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,274,0.0,100.0,0.61,0.6,9.54,0.0133,0.816,0.8672,28,84,139.012,0.0,0.0,0.0,96,0,0,0,0
112,1787553037.0865042,249,15,6,15,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,274,0.0,100.0,0.61,0.6,9.62,0.0133,0.81,0.863,28,85,139.012,0.0,0.0,0.0,96,0,0,0,0
113,1787553037.3139029,249,16,5,16,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,288,0.0,100.0,0.61,0.6,9.3,0.0437,0.8226,0.8627,29,85,139.012,0.0,0.0,0.0,96,0,0,0,0
114,1787553037.3740299,249,16,5,16,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,288,0.0,100.0,0.61,0.6,9.38,0.0437,0.8217,0.8621,29,86,139.012,0.0,0.0,0.0,96,0,0,0,0
115,1787553037.4327235,249,16,5,16,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,288,0.0,100.0,0.61,0.61,9.47,0.0437,0.8227,0.8627,29,87,139.012,0.0,0.0,0.0,96,0,0,0,0
116,1787553037.4916828,249,16,5,16,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,288,0.0,100.0,0.61,0.61,9.55,0.0437,0.8174,0.859,29,88,139.012,0.0,0.0,0.0,96,0,0,0,0
117,1787553037.5490103,249,16,5,16,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,288,0.0,100.0,0.61,0.61,9.64,0.0437,0.8171,0.8589,29,89,139.012,0.0,0.0,0.0,96,0,0,0,0
118,1787553037.7728028,249,12,4,12,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,300,0.0,100.0,0.61,0.61,9.35,0.0583,0.761,0.8152,30,89,139.012,0.0,0.0,0.0,96,0,0,0,0
119,1787553037.8291647,249,12,4,12,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,300,0.0,100.0,0.61,0.61,9.42,0.0583,0.7638,0.8172,30,90,139.012,0.0,0.0,0.0,96,0,0,0,0
120,1787553037.8891385,249,12,4,12,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,300,0.0,100.0,0.61,0.61,9.48,0.0583,0.7622,0.816,30,91,139.012,0.0,0.0,0.0,96,0,0,0,0
121,1787553037.9474936,249,12,4,12,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,300,0.0,100.0,0.61,0.61,9.54,0.0583,0.7594,0.8141,30,92,139.012,0.0,0.0,0.0,96,0,0,0,0
122,1787553038.004608,249,12,4,12,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,300,0.0,100.0,0.61,0.61,9.6,0.0583,0.7572,0.8125,30,93,139.012,0.0,0.0,0.0,96,0,0,0,0
123,1787553038.225441,249,9,8,9,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,309,0.0,100.0,0.61,0.61,9.31,0.0222,0.7575,0.8236,31,93,139.012,0.0,0.0,0.0,96,0,0,0,0
124,1787553038.3222508,249,9,8,9,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,309,0.0,100.0,0.61,0.61,9.36,0.0222,0.76,0.8253,31,94,139.012,0.0,0.0,0.0,96,0,0,0,0
125,1787553038.3795667,249,9,8,9,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,309,0.0,100.0,0.61,0.61,9.4,0.0222,0.7595,0.825,31,95,139.012,0.0,0.0,0.0,96,0,0,0,0
126,1787553038.435299,249,9,8,9,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,309,0.0,100.0,0.61,0.61,9.45,0.0222,0.7589,0.8246,31,96,139.012,0.0,0.0,0.0,96,0,0,0,0
127,1787553038.4921846,249,9,8,9,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,309,0.0,100.0,0.61,0.61,9.49,0.0222,0.7486,0.8174,31,97,139.012,0.0,0.0,0.0,96,0,0,0,0
128,1787553038.7292461,249,14,2,14,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,317,0.0,100.0,0.61,0.61,9.2,0.0,0.7952,0.8566,32,97,139.012,0.0,0.0,0.0,96,0,0,0,0
129,1787553038.7909791,249,14,2,14,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,317,0.0,100.0,0.61,0.61,9.26,0.0,0.798,0.8586,32,98,139.012,0.0,0.0,0.0,96,0,0,0,0
130,1787553038.85285,249,14,2,14,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,317,0.0,100.0,0.61,0.61,9.33,0.0,0.7966,0.8576,32,99,139.012,0.0,0.0,0.0,96,0,0,0,0
131,1787553038.9174457,249,14,2,14,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,317,0.0,100.0,0.61,0.61,9.4,0.0,0.7947,0.8563,32,100,139.012,0.0,0.0,0.0,96,0,0,0,0
132,1787553038.9822178,248,14,2,14,3,245,0,1,0,4,14,10,0,0,0.0,0.0,4.0,317,0.0,100.0,0.61,0.61,9.46,0.0,0.7685,0.8379,32,101,139.012,0.0,0.0,0.0,96,0,0,0,0
133,1787553039.2092943,248,18,7,18,3,245,0,1,0,4,14,10,0,0,0.0,0.0,4.0,329,0.0,100.0,0.61,0.61,9.2,0.0222,0.8931,0.9185,33,101,139.012,0.0,0.0,0.0,96,0,0,0,0
134,1787553039.2695632,248,18,7,18,3,245,0,1,0,4,14,10,0,0,0.0,0.0,4.0,329,0.0,100.0,0.61,0.61,9.28,0.0222,0.8974,0.9215,33,102,139.012,0.0,0.0,0.0,96,0,0,0,0
135,1787553039.4859352,248,18,7,18,3,245,0,1,0,4,14,10,0,0,0.0,0.0,4.0,329,0.0,100.0,0.61,0.61,9.36,0.0222,0.9006,0.9238,33,103,139.012,0.0,0.0,0.0,96,0,0,0,0
136,1787553039.5432935,247,18,7,18,3,244,0,1,0,4,14,10,0,0,0.0,0.0,4.0,329,0.0,100.0,0.61,0.61,9.44,0.0222,0.897,0.9212,33,104,139.012,0.0,0.0,0.0,96,0,0,0,0
137,1787553039.6111217,247,18,7,18,3,244,0,1,0,4,14,10,0,0,0.0,0.0,4.0,329,0.0,100.0,0.61,0.61,9.53,0.0222,0.8923,0.918,33,105,139.012,0.0,0.0,0.0,96,0,0,0,0
138,1787553039.8245175,245,20,5,20,3,242,0,1,0,4,14,10,0,0,0.0,0.0,4.0,347,0.0,100.0,0.61,0.61,9.2,0.07,0.9524,0.9457,34,105,139.012,0.0,0.0,0.0,96,0,0,0,0
139,1787553039.8787034,245,20,5,20,3,242,0,1,0,4,14,10,0,0,0.0,0.0,4.0,347,0.0,100.0,0.61,0.61,9.29,0.07,0.9517,0.9452,34,106,139.012,0.0,0.0,0.0,96,0,0,0,0
140,1787553039.9332542,244,20,5,20,3,241,0,1,0,4,14,10,0,0,0.0,0.0,4.0,347,0.0,100.0,0.61,0.61,9.37,0.07,0.9506,0.9444,34,107,139.012,0.0,0.0,0.0,96,0,0,0,0
141,1787553040.0143538,244,20,5,20,3,241,0,1,0,4,14,10,0,0,0.0,0.0,4.0,347,0.0,100.0,0.61,0.61,9.46,0.07,0.9441,0.9399,34,108,139.012,0.0,0.0,0.0,96,0,0,0,0
142,1787553040.0805454,244,20,5,20,3,241,0,1,0,4,14,10,0,0,0.0,0.0,4.0,347,0.0,100.0,0.61,0.61,9.55,0.07,0.9402,0.9371,34,109,139.012,0.0,0.0,0.0,96,0,0,0,0
143,1787553040.3245187,243,15,6,15,3,240,0,1,0,4,14,10,0,0,0.0,0.0,4.0,359,0.0,100.0,0.61,0.61,9.45,0.1067,0.8386,0.855,35,109,139.012,0.0,0.0,0.0,96,0,0,0,0
144,1787553040.7022107,242,15,6,15,3,239,0,1,0,4,14,10,0,0,0.0,0.0,4.0,359,0.0,100.0,0.61,0.61,9.51,0.1067,0.8284,0.8479,35,110,139.012,0.0,0.0,0.0,96,0,0,0,0
145,1787553040.7929037,242,15,6,15,3,239,0,1,0,4,14,10,0,0,0.0,0.0,4.0,359,0.0,100.0,0.61,0.61,9.58,0.1067,0.8137,0.8376,35,111,139.012,0.0,0.0,0.0,96,0,0,0,0
146,1787553040.927166,242,15,6,15,3,239,0,1,0,4,14,10,0,0,0.0,0.0,4.0,359,0.0,100.0,0.61,0.61,9.64,0.1067,0.8005,0.8284,35,112,139.012,0.0,0.0,0.0,96,0,0,0,0
147,1787553041.0947268,242,15,6,15,3,239,0,1,0,4,14,10,0,0,0.0,0.0,4.0,359,0.0,100.0,0.61,0.61,9.71,0.1067,0.7746,0.8102,35,113,139.012,0.0,0.0,0.0,96,0,0,0,0
148,1787553041.3240714,241,6,1,6,3,238,0,1,0,4,14,10,0,0,0.0,0.0,4.0,365,0.0,100.0,0.61,0.61,9.57,0.1167,0.6266,0.7036,36,113,139.012,0.0,0.0,0.0,96,0,0,0,0
149,1787553041.3767083,241,6,1,6,3,238,0,1,0,4,14,10,0,0,0.0,0.0,4.0,365,0.0,100.0,0.61,0.61,9.59,0.1167,0.6163,0.6964,36,114,139.012,0.0,0.0,0.0,96,0,0,0,0
150,1787553041.443845,241,6,1,6,3,238,0,1,0,4,14,10,0,0,0.0,0.0,4.0,365,0.0,100.0,0.61,0.61,9.62,0.1167,0.6036,0.6875,36,115,139.012,0.0,0.0,0.0,96,0,0,0,0
151,1787553041.501993,241,6,1,6,3,238,0,1,0,4,14,10,0,0,0.0,0.0,4.0,365,0.0,100.0,0.61,0.61,9.64,0.1167,0.5999,0.6849,36,116,139.012,0.0,0.0,0.0,96,0,0,0,0
152,1787553041.5776901,240,6,1,6,3,237,0,1,0,4,14,10,0,0,0.0,0.0,4.0,365,0.0,100.0,0.61,0.61,9.67,0.1167,0.5943,0.681,36,117,139.012,0.0,0.0,0.0,96,0,0,0,0
153,1787553041.7906268,239,15,1,15,3,236,0,1,0,4,14,10,0,0,0.0,0.0,4.0,370,0.0,100.0,0.61,0.61,9.3,0.02,0.9166,0.9356,37,117,139.012,0.0,0.0,0.0,96,0,0,0,0
154,1787553041.8463345,239,15,1,15,3,236,0,1,0,4,14,10,0,0,0.0,0.0,4.0,370,0.0,100.0,0.61,0.61,9.36,0.02,0.9161,0.9352,37,118,139.012,0.0,0.0,0.0,96,0,0,0,0
155,1787553041.9096267,238,15,1,15,3,235,0,1,0,4,14,10,0,0,0.0,0.0,4.0,370,0.0,100.0,0.61,0.61,9.42,0.02,0.9173,0.9361,37,119,139.012,0.0,0.0,0.0,96,0,0,0,0
156,1787553041.9660134,238,15,1,15,3,235,0,1,0,4,14,10,0,0,0.0,0.0,4.0,370,0.0,100.0,0.61,0.61,9.48,0.02,0.9149,0.9344,37,120,139.012,0.0,0.0,0.0,96,0,0,0,0
157,1787553042.021563,238,15,1,15,3,235,0,1,0,4,14,10,0,0,0.0,0.0,4.0,370,0.0,100.0,0.61,0.61,9.54,0.02,0.9119,0.9323,37,121,139.012,0.0,0.0,0.0,96,0,0,0,0
158,1787553042.2278733,238,16,3,16,3,235,0,1,0,4,14,10,0,0,0.0,0.0,4.0,384,0.0,100.0,0.61,0.61,9.27,0.0375,0.8434,0.8791,38,121,139.012,0.0,0.0,0.0,96,0,0,0,0
159,1787553042.2881773,238,16,3,16,3,235,0,1,0,4,14,10,0,0,0.0,0.0,4.0,384,0.0,100.0,0.61,0.61,9.33,0.0375,0.8409,0.8774,38,122,139.012,0.0,0.0,0.0,96,0,0,0,0
160,1787553042.3615508,237,16,3,16,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,384,0.0,100.0,0.61,0.61,9.39,0.0375,0.8409,0.8774,38,123,139.012,0.0,0.0,0.0,96,0,0,0,0
161,1787553042.4235857,237,16,3,16,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,384,0.0,100.0,0.61,0.61,9.46,0.0375,0.839,0.8761,38,124,139.012,0.0,0.0,0.0,96,0,0,0,0
162,1787553042.4769406,237,16,3,16,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,384,0.0,100.0,0.61,0.61,9.52,0.0375,0.8326,0.8716,38,125,139.012,0.0,0.0,0.0,96,0,0,0,0
163,1787553042.677418,237,15,7,15,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,398,0.0,100.0,0.61,0.61,9.22,0.0467,0.8007,0.8465,39,125,139.012,0.0,0.0,0.0,96,0,0,0,0
164,1787553042.7322738,237,15,7,15,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,398,0.0,100.0,0.61,0.61,9.27,0.0467,0.8048,0.8494,39,126,139.012,0.0,0.0,0.0,96,0,0,0,0
165,1787553042.7847757,237,15,7,15,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,398,0.0,100.0,0.61,0.61,9.33,0.0467,0.8071,0.8509,39,127,139.012,0.0,0.0,0.0,96,0,0,0,0
166,1787553042.8391426,237,15,7,15,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,398,0.0,100.0,0.61,0.61,9.39,0.0467,0.8064,0.8505,39,128,139.012,0.0,0.0,0.0,96,0,0,0,0
167,1787553042.8923817,237,15,7,15,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,398,0.0,100.0,0.61,0.61,9.44,0.0467,0.8025,0.8478,39,129,139.012,0.0,0.0,0.0,96,0,0,0,0
168,1787553043.0937731,237,20,7,20,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,412,0.0,100.0,0.61,0.61,9.24,0.05,0.9269,0.9338,40,129,139.012,0.0,0.0,0.0,96,0,0,0,0
169,1787553043.1488914,237,20,7,20,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,412,0.0,100.0,0.61,0.61,9.31,0.05,0.9279,0.9345,40,130,139.012,0.0,0.0,0.0,96,0,0,0,0
170,1787553043.2053115,237,20,7,20,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,412,0.0,100.0,0.61,0.61,9.39,0.05,0.927,0.9339,40,131,139.012,0.0,0.0,0.0,96,0,0,0,0
171,1787553043.2590063,237,20,7,20,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,412,0.0,100.0,0.61,0.61,9.46,0.05,0.9269,0.9338,40,132,139.012,0.0,0.0,0.0,96,0,0,0,0
172,1787553043.313543,237,20,7,20,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,412,0.0,100.0,0.61,0.61,9.53,0.05,0.9255,0.9329,40,133,139.012,0.0,0.0,0.0,96,0,0,0,0
173,1787553043.514776,237,19,4,19,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,421,0.0,100.0,0.61,0.61,9.46,0.0684,0.9188,0.9226,41,133,139.012,0.0,0.0,0.0,96,0,0,0,0
174,1787553043.569206,237,19,4,19,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,421,0.0,100.0,0.61,0.61,9.53,0.0684,0.9227,0.9253,41,134,139.012,0.0,0.0,0.0,96,0,0,0,0
175,1787553043.6246154,237,19,4,19,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,421,0.0,100.0,0.61,0.61,9.6,0.0684,0.9223,0.9251,41,135,139.012,0.0,0.0,0.0,96,0,0,0,0
176,1787553043.6793566,237,19,4,19,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,421,0.0,100.0,0.61,0.61,9.67,0.0684,0.9237,0.926,41,136,139.012,0.0,0.0,0.0,96,0,0,0,0
177,1787553043.732376,237,19,4,19,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,421,0.0,100.0,0.61,0.61,9.74,0.0684,0.9221,0.925,41,137,139.012,0.0,0.0,0.0,96,0,0,0,0
178,1787553043.930168,237,17,0,17,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,425,0.0,100.0,0.61,0.61,9.66,0.0353,0.9111,0.9272,42,137,139.012,0.0,0.0,0.0,96,0,0,0,0
179,1787553043.9828227,237,17,0,17,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,425,0.0,100.0,0.61,0.61,9.72,0.0353,0.9112,0.9273,42,138,139.012,0.0,0.0,0.0,96,0,0,0,0
180,1787553044.0352345,237,17,0,17,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,425,0.0,100.0,0.61,0.61,9.78,0.0353,0.9096,0.9261,42,139,139.012,0.0,0.0,0.0,96,0,0,0,0
181,1787553044.0880797,236,17,0,17,3,233,0,1,0,4,14,10,0,0,0.0,0.0,4.0,425,0.0,100.0,0.61,0.61,9.84,0.0353,0.9059,0.9235,42,140,139.012,0.0,0.0,0.0,96,0,0,0,0
182,1787553044.1422706,236,17,0,17,3,233,0,1,0,4,14,10,0,0,0.0,0.0,4.0,425,0.0,100.0,0.61,0.61,9.9,0.0353,0.8956,0.9164,42,141,139.012,0.0,0.0,0.0,96,0,0,0,0
183,1787553044.3532438,234,22,3,22,3,231,0,1,0,4,14,10,0,0,0.0,0.0,4.0,442,0.0,100.0,0.61,0.61,9.77,0.0682,0.9807,0.9661,43,141,139.012,0.0,0.0,0.0,96,0,0,0,0
184,1787553044.4081783,234,22,3,22,3,231,0,1,0,4,14,10,0,0,0.0,0.0,4.0,442,0.0,100.0,0.61,0.61,9.85,0.0682,0.98,0.9655,43,142,139.012,0.0,0.0,0.0,96,0,0,0,0
185,1787553044.4613357,234,22,3,22,3,231,0,1,0,4,14,10,0,0,0.0,0.0,4.0,442,0.0,100.0,0.61,0.61,9.92,0.0682,0.978,0.9642,43,143,139.012,0.0,0.0,0.0,96,0,0,0,0
186,1787553044.5442681,234,22,3,22,3,231,0,1,0,4,14,10,0,0,0.0,0.0,4.0,442,0.0,100.0,0.61,0.61,10.0,0.0682,0.9757,0.9625,43,144,139.012,0.0,0.0,0.0,96,0,0,0,0
187,1787553044.6158001,234,22,3,22,3,231,0,1,0,4,14,10,0,0,0.0,0.0,4.0,442,0.0,100.0,0.61,0.61,10.08,0.0682,0.9656,0.9555,43,145,139.012,0.0,0.0,0.0,96,0,0,0,0
188,1787553044.845832,234,16,7,16,3,231,0,1,0,4,14,10,0,0,0.0,0.0,4.0,455,0.0,100.0,0.61,0.61,10.03,0.1375,0.865,0.8642,44,145,139.012,0.0,0.0,0.0,96,0,0,0,0
189,1787553045.109997,233,16,7,16,3,230,0,1,0,4,14,10,0,0,0.0,0.0,4.0,455,0.0,100.0,0.61,0.61,10.08,0.1375,0.8614,0.8617,44,146,139.012,0.0,0.0,0.0,96,0,0,0,0
190,1787553045.1727378,231,16,7,16,3,228,0,1,0,4,14,10,0,0,0.0,0.0,4.0,455,0.0,100.0,0.61,0.61,10.14,0.1375,0.8522,0.8553,44,147,139.012,0.0,0.0,0.0,96,0,0,0,0
191,1787553045.2444105,230,16,7,16,3,227,0,1,0,4,14,10,0,0,0.0,0.0,4.0,455,0.0,100.0,0.61,0.61,10.19,0.1375,0.833,0.8419,44,148,139.012,0.0,0.0,0.0,96,0,0,0,0
192,1787553045.3069253,229,16,7,16,3,226,0,1,0,4,14,10,0,0,0.0,0.0,4.0,455,0.0,100.0,0.61,0.61,10.25,0.1375,0.7951,0.8153,44,149,139.012,0.0,0.0,0.0,96,0,0,0,0
193,1787553045.5346918,229,11,11,11,3,226,0,1,0,4,14,10,0,0,0.0,0.0,4.0,465,0.0,100.0,0.61,0.61,9.91,0.0636,0.7959,0.8381,45,149,139.012,0.0,0.0,0.0,96,0,0,0,0
194,1787553045.7848358,229,11,11,11,3,226,0,1,0,4,14,10,0,0,0.0,0.0,4.0,465,0.0,100.0,0.61,0.61,9.95,0.0636,0.7969,0.8388,45,150,139.012,0.0,0.0,0.0,96,0,0,0,0
195,1787553045.9660804,228,11,11,11,3,225,0,1,0,4,14,10,0,0,0.0,0.0,4.0,465,0.0,100.0,0.61,0.6,9.98,0.0636,0.7943,0.8369,45,151,139.012,0.0,0.0,0.0,96,0,0,0,0
196,1787553046.028973,225,11,11,11,3,222,0,1,0,4,14,10,0,0,0.0,0.0,4.0,465,0.0,100.0,0.61,0.6,10.02,0.0636,0.7814,0.8279,45,152,139.012,0.0,0.0,0.0,96,0,0,0,0
197,1787553046.089359,223,11,11,11,3,220,0,1,0,4,14,10,0,0,0.0,0.0,4.0,465,0.0,100.0,0.61,0.6,10.06,0.0636,0.7637,0.8155,45,153,139.012,0.0,0.0,0.0,96,0,0,0,0
198,1787553046.298415,223,20,6,20,3,220,0,1,0,4,14,10,0,0,0.0,0.0,4.0,475,0.0,100.0,0.61,0.6,9.64,0.01,0.913,0.9361,46,153,139.012,0.0,0.0,0.0,96,0,0,0,0
199,1787553046.350006,222,20,6,20,3,219,0,1,0,4,14,10,0,0,0.0,0.0,4.0,475,0.0,100.0,0.61,0.6,9.71,0.01,0.9201,0.9411,46,154,139.012,0.0,0.0,0.0,96,0,0,0,0
