step,timestamp,vehicle_count,cluster_count,noise_count,cluster_head_count,trusted_count,unknown_count,malicious_count,emergency_messages,delivered_messages,forwarded,duplicates,routing_hops,auth_success,auth_failures,pdr,avg_delay_ms,broadcast_overhead,ch_changes,throughput_kbps,auth_success_rate,avg_legitimate_trust,avg_malicious_trust,avg_cluster_lifetime,ch_change_rate,avg_intra_cluster_connectivity,cluster_stability_score,recluster_count,reclustering_skipped_count,bls_sign_time_ms,bls_individual_verify_time_ms,bls_batch_verify_time_ms,bls_batch_avg_size,bls_signature_size_bytes,bls_verifications_total,bls_batches_total,bls_auth_success,bls_auth_failures
24,1787553028.2677863,60,13,24,13,0,60,0,0,0,0,0,0,0,0,100.0,0.0,0.0,30,0.0,100.0,0.6,0.6,4.93,0.0385,1.0,0.9885,11,14,0.0,0.0,0.0,0.0,0,0,0,0,0
25,1787553028.301345,63,13,27,13,0,63,0,0,0,0,0,0,0,0,100.0,0.0,0.0,30,0.0,100.0,0.6,0.6,5.38,0.0385,1.0,0.9885,11,15,0.0,0.0,0.0,0.0,0,0,0,0,0
26,1787553028.3341527,66,13,30,13,0,66,0,0,0,0,0,0,0,0,100.0,0.0,0.0,30,0.0,100.0,0.6,0.6,5.83,0.0385,0.9872,0.9795,11,16,0.0,0.0,0.0,0.0,0,0,0,0,0
27,1787553028.3698368,68,13,32,13,0,68,0,0,0,0,0,0,0,0,100.0,0.0,0.0,30,0.0,100.0,0.6,0.6,6.28,0.0385,0.9615,0.9615,11,17,0.0,0.0,0.0,0.0,0,0,0,0,0
28,1787553028.4452972,70,15,16,15,0,70,0,0,0,0,0,0,0,0,100.0,0.0,0.0,41,0.0,100.0,0.6,0.6,5.18,0.0333,0.9735,0.9715,12,17,0.0,0.0,0.0,0.0,0,0,0,0,0
29,1787553028.4929838,72,15,18,15,0,72,0,0,0,0,0,0,0,0,100.0,0.0,0.0,41,0.0,100.0,0.6,0.6,5.58,0.0133,0.9752,0.9786,12,18,0.0,0.0,0.0,0.0,0,0,0,0,0
30,1787553028.5412314,76,15,22,15,0,76,0,0,0,0,0,0,0,0,100.0,0.0,0.0,41,0.0,100.0,0.6,0.6,5.97,0.0133,0.9615,0.9691,12,19,0.0,0.0,0.0,0.0,0,0,0,0,0
31,1787553028.5826032,78,15,24,15,0,78,0,0,0,0,0,0,0,0,100.0,0.0,0.0,41,0.0,100.0,0.6,0.6,6.37,0.0133,0.9607,0.9685,12,20,0.0,0.0,0.0,0.0,0,0,0,0,0
32,1787553028.628575,81,15,27,15,0,81,0,0,0,0,0,0,0,0,100.0,0.0,0.0,41,0.0,100.0,0.6,0.6,6.76,0.0133,0.959,0.9673,12,21,0.0,0.0,0.0,0.0,0,0,0,0,0
33,1787553028.703343,83,17,15,17,0,83,0,0,0,0,0,0,0,0,100.0,0.0,0.0,52,0.0,100.0,0.6,0.6,5.71,0.0059,0.9737,0.9798,13,21,0.0,0.0,0.0,0.0,0,0,0,0,0
34,1787553028.7617607,86,17,18,17,0,86,0,0,0,0,0,0,0,0,100.0,0.0,0.0,52,0.0,100.0,0.6,0.6,6.06,0.0059,0.9737,0.9798,13,22,0.0,0.0,0.0,0.0,0,0,0,0,0
35,1787553028.815287,88,17,20,17,0,88,0,0,0,0,0,0,0,0,100.0,0.0,0.0,52,0.0,100.0,0.6,0.6,6.42,0.0059,0.9731,0.9794,13,23,0.0,0.0,0.0,0.0,0,0,0,0,0
36,1787553028.885865,91,17,23,17,0,91,0,0,0,0,0,0,0,0,100.0,0.0,0.0,52,0.0,100.0,0.6,0.6,6.77,0.0059,0.9714,0.9782,13,24,0.0,0.0,0.0,0.0,0,0,0,0,0
37,1787553028.9484313,93,17,25,17,0,93,0,0,0,0,0,0,0,0,100.0,0.0,0.0,52,0.0,100.0,0.6,0.6,7.12,0.0059,0.9445,0.9594,13,25,0.0,0.0,0.0,0.0,0,0,0,0,0
38,1787553029.0454144,95,16,19,16,0,95,0,0,0,0,0,0,0,0,100.0,0.0,0.0,66,0.0,100.0,0.6,0.6,6.39,0.0312,0.9722,0.9712,14,25,0.0,0.0,0.0,0.0,0,0,0,0,0
39,1787553029.1051993,98,16,22,16,0,98,0,0,0,0,0,0,0,0,100.0,0.0,0.0,66,0.0,100.0,0.6,0.6,6.68,0.0312,0.967,0.9675,14,26,0.0,0.0,0.0,0.0,0,0,0,0,0
40,1787553029.1677263,101,16,25,16,0,101,0,0,0,0,0,0,0,0,100.0,0.0,0.0,66,0.0,100.0,0.6,0.6,6.96,0.0312,0.9618,0.9639,14,27,0.0,0.0,0.0,0.0,0,0,0,0,0
41,1787553029.1893,102,16,26,16,0,102,0,0,0,0,0,0,0,0,100.0,0.0,0.0,66,0.0,100.0,0.6,0.6,7.25,0.0312,0.9524,0.9573,14,28,0.0,0.0,0.0,0.0,0,0,0,0,0
42,1787553029.2109025,105,16,29,16,0,105,0,0,0,0,0,0,0,0,100.0,0.0,0.0,66,0.0,100.0,0.6,0.6,7.54,0.0312,0.9401,0.9487,14,29,0.0,0.0,0.0,0.0,0,0,0,0,0
43,1787553029.2857325,107,23,5,23,0,107,0,0,0,0,0,0,0,0,100.0,0.0,0.0,81,0.0,100.0,0.61,0.6,6.45,0.0217,0.9845,0.9827,15,29,0.0,0.0,0.0,0.0,0,0,0,0,0
44,1787553029.3472164,109,23,7,23,0,109,0,0,0,0,0,0,0,0,100.0,0.0,0.0,81,0.0,100.0,0.61,0.6,6.78,0.0217,0.9792,0.9789,15,30,0.0,0.0,0.0,0.0,0,0,0,0,0
45,1787553029.4155338,113,23,11,23,0,113,0,0,0,0,0,0,0,0,100.0,0.0,0.0,81,0.0,100.0,0.6,0.61,7.12,0.0217,0.9758,0.9766,15,31,0.0,0.0,0.0,0.0,0,0,0,0,0
46,1787553029.4809537,115,23,13,23,0,115,0,0,0,0,0,0,0,0,100.0,0.0,0.0,81,0.0,100.0,0.6,0.61,7.45,0.0217,0.9686,0.9715,15,32,0.0,0.0,0.0,0.0,0,0,0,0,0
47,1787553029.5694213,117,23,15,23,0,117,0,0,0,0,0,0,0,0,100.0,0.0,0.0,81,0.0,100.0,0.61,0.61,7.78,0.0217,0.9507,0.959,15,33,0.0,0.0,0.0,0.0,0,0,0,0,0
48,1787553029.6931827,120,21,15,21,0,120,0,0,0,0,0,0,0,0,100.0,0.0,0.0,102,0.0,100.0,0.61,0.61,7.34,0.0619,0.9778,0.9659,16,33,0.0,0.0,0.0,0.0,0,0,0,0,0
49,1787553029.776777,123,21,18,21,0,123,0,0,0,0,0,0,0,0,100.0,0.0,0.0,102,0.0,100.0,0.61,0.61,7.62,0.0619,0.9766,0.965,16,34,0.0,0.0,0.0,0.0,0,0,0,0,0
50,1787553029.860451,125,21,20,21,0,125,0,0,0,0,0,0,0,0,100.0,0.0,0.0,102,0.0,100.0,0.61,0.61,7.89,0.0619,0.9714,0.9614,16,35,0.0,0.0,0.0,0.0,0,0,0,0,0
